Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-11-17,Snacks,515.7,9.9,8.1,0.2,0.1,0.0,0.0,0.0,991.0,94.7,9.9,50.3,20.2,0.0,60.8,1.5,0.0,
2025-11-18,Breakfast,1723.9,50.9,14.3,0.3,0.3,0.0,7.6,1313.8,4.0,292.6,8.1,79.8,33.7,10.0,3.0,7.0,3.0,
2025-11-18,Lunch,235.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,
2025-11-19,Breakfast,165.6,5.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.7,22.5,0.0,0.0,0.0,0.0,
2025-11-19,Lunch,2195.8,103.0,14.0,19.1,25.1,0.0,318.0,3727.9,2123.7,227.0,12.8,53.2,86.6,0.0,8.4,39.8,73.3,
2025-11-20,Breakfast,454.7,14.1,3.3,3.2,6.3,0.0,161.2,298.1,342.5,79.9,1.6,53.7,12.4,4.8,1.6,19.4,14.4,
2025-11-20,Lunch,938.8,8.0,0.8,0.2,0.1,0.0,0.0,777.3,363.3,170.2,7.8,1.9,47.3,0.0,2.3,1.9,18.2,
2025-11-20,Snacks,1018.7,49.9,24.0,0.0,0.0,0.0,105.8,735.0,800.0,99.5,16.0,16.8,39.4,29.2,48.0,78.5,14.0,
2025-11-21,Breakfast,722.2,36.8,4.8,4.7,14.0,0.0,0.0,509.5,271.5,90.3,7.8,4.6,18.8,0.0,0.0,2.2,16.0,
2025-11-21,Dinner,1191.3,80.6,48.8,4.4,20.5,2.7,281.9,939.6,440.4,74.7,3.7,4.7,45.8,56.7,1.2,42.9,19.8,
2025-11-21,Lunch,792.8,51.0,30.7,0.0,0.0,0.0,83.5,461.0,376.0,74.1,4.0,60.0,22.8,12.7,0.0,63.1,24.0,
2025-11-22,Breakfast,826.4,57.2,14.7,9.7,19.4,1.5,740.4,964.3,578.6,32.0,0.0,4.2,48.3,94.0,0.0,16.8,22.8,
2025-11-22,Dinner,1160.1,39.5,8.4,10.5,15.8,0.0,108.5,2825.5,3892.6,138.9,9.8,46.7,58.1,2.3,189.6,16.9,35.8,
2025-11-22,Lunch,146.0,6.6,2.1,0.0,0.0,0.0,0.0,1400.0,0.0,20.8,4.8,12.0,3.3,0.0,0.0,0.0,0.0,
2025-11-22,Snacks,510.6,16.0,7.0,0.0,0.0,0.0,0.0,140.0,0.0,91.0,1.0,75.0,2.0,0.0,0.0,0.0,8.0,
2025-11-23,Breakfast,619.8,33.4,4.1,3.0,5.4,0.8,337.9,176.9,161.0,56.0,0.0,1.7,32.2,47.0,0.0,8.1,8.9,
2025-11-23,Dinner,765.8,12.9,0.5,0.6,0.6,0.0,0.0,1219.6,1404.3,144.4,14.4,6.1,22.0,11.4,41.6,7.4,16.1,
2025-11-23,Snacks,834.6,16.0,7.0,0.0,0.0,0.0,0.0,153.0,0.0,167.0,1.0,125.0,6.0,0.0,0.0,0.0,8.0,
2025-11-24,Breakfast,490.7,11.0,1.8,2.0,4.7,0.0,1.2,91.8,337.5,101.3,13.9,24.2,13.5,0.0,15.3,2.5,7.3,
2025-11-24,Snacks,929.4,33.5,16.2,0.0,0.0,0.0,0.0,27.0,0.0,128.9,6.0,37.1,29.2,0.0,0.0,0.0,0.0,
2025-11-25,Breakfast,790.0,46.1,22.1,2.5,4.4,0.0,161.2,284.2,232.0,86.0,2.2,53.9,16.5,4.8,1.6,13.6,11.2,
2025-11-25,Lunch,857.3,33.3,3.3,0.0,0.0,0.0,16.7,2279.7,0.0,212.7,26.7,80.0,40.7,0.0,0.0,0.0,0.0,
2025-11-25,Snacks,834.2,27.5,18.0,0.2,0.1,0.0,0.0,0.0,991.0,117.0,13.9,55.2,45.0,0.0,60.8,1.5,0.0,
2025-11-26,Breakfast,245.8,9.4,1.5,1.4,5.7,0.0,0.0,389.4,348.7,35.2,7.1,2.8,6.4,0.0,8.7,5.3,11.6,
2025-11-26,Lunch,1614.7,90.7,9.2,0.0,0.0,0.0,44.9,3099.2,0.0,220.5,26.7,68.2,95.6,0.0,0.0,0.0,8.5,
2025-11-26,Snacks,336.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0,37.5,6.2,0.0,0.0,0.0,0.0,
2025-11-27,Breakfast,276.0,1.8,0.3,0.6,0.6,0.0,0.0,12.0,0.0,67.8,8.1,2.7,10.2,0.0,0.0,0.0,0.0,
2025-11-27,Dinner,1276.8,38.7,20.0,0.5,0.2,0.0,0.0,385.3,74.9,222.1,7.3,83.0,21.3,0.0,0.0,3.3,13.9,
2025-11-27,Lunch,948.3,11.2,3.5,2.6,1.0,0.0,0.0,615.3,1141.9,133.8,8.2,54.9,77.4,0.0,60.8,1.5,0.0,
2025-11-28,Breakfast,915.3,7.3,1.7,3.2,1.6,0.0,0.0,627.3,1141.9,200.3,16.3,57.6,24.6,0.0,60.8,1.5,0.0,
2025-11-28,Dinner,280.1,2.4,0.8,0.1,0.1,0.0,86.0,296.8,212.7,26.5,1.6,0.7,37.8,0.0,2.6,3.4,10.5,
2025-11-28,Lunch,515.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,15.0,0.0,24.0,0.0,0.0,0.0,0.0,
2025-11-28,Snacks,682.5,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4,0.0,32.8,7.7,0.0,0.0,0.0,0.0,
